,model,double_itcz_bias,long_peak_bias,seasonal_shift_bias,seasonal_shift_bias_eh
0,ACCESS-CM2,48.725106885276375,-24.0,0.14876033057851323,-3.0
1,ACCESS-ESM1-5,27.310755507751573,-24.0,1.338842975206612,-2.634146341463415
2,AWI-CM-1-1-MR,31.98841994598785,-27.0,3.0247933884297513,-1.0975609756097562
3,AWI-ESM-1-1-LR,40.64875953194609,-33.0,4.685950413223141,-1.0975609756097562
4,BCC-CSM2-MR,48.94154384627626,-30.0,4.735537190082644,-0.5853658536585371
5,BCC-ESM1,57.546689642824866,-27.0,5.578512396694213,0.07317073170731625
6,CAMS-CSM1-0,65.43748958229367,0.0,7.735537190082644,0.8780487804878057
7,CAS-ESM2-0,46.80112369596608,-33.0,-4.338842975206612,-5.926829268292684
8,CESM2-FV2,34.5245790489557,3.0,-0.7933884297520652,-4.2439024390243905
9,CESM2-WACCM-FV2,42.6330009402619,-15.0,-1.7763568394002505e-15,-4.170731707317074
10,CESM2-WACCM,24.626791856611472,-18.0,0.2727272727272716,-2.121951219512196
11,CESM2,21.614460076255785,-15.0,0.12396694214876014,-2.7804878048780495
12,CIESM,136.32156613801763,-18.0,-0.8925619834710758,-1.1707317073170742
13,CMCC-CM2-HR4,45.44895538772875,-18.0,3.12396694214876,1.4634146341463392
14,CMCC-CM2-SR5,23.630145479277907,-24.0,-1.4876033057851243,-1.3170731707317067
15,CNRM-CM6-1-HR,28.368551111477647,-3.0,-1.9586776859504127,-4.463414634146343
16,CNRM-CM6-1,26.867601947670217,0.0,0.49586776859504056,-3.2195121951219505
17,CNRM-ESM2-1,27.824812058468684,0.0,-0.4214876033057866,-4.024390243902438
18,CanESM5,27.886290005560674,-27.0,4.1652892561983474,-2.7073170731707314
19,E3SM-1-0,38.40456971185779,-27.0,0.44628099173553615,-1.1707317073170742
20,E3SM-1-1-ECA,46.18884156911019,-27.0,-0.5702479338842981,0.3658536585365848
21,E3SM-1-1,47.60345227901395,-27.0,-0.3966942148760335,0.43902439024390105
22,EC-Earth3-Veg-LR,29.584796915618572,-18.0,2.1818181818181817,-0.3658536585365866
23,EC-Earth3-Veg,27.41548778348085,-18.0,1.115702479338843,-0.2195121951219523
24,EC-Earth3,27.265292522673416,-18.0,0.7685950413223139,-0.5121951219512209
25,FGOALS-f3-L,27.644807894824122,6.0,1.0413223140495855,-1.609756097560977
26,FGOALS-g3,46.23990507284085,-9.0,-0.49586776859504234,-3.1463414634146343
27,FIO-ESM-2-0,136.31133156001405,-21.0,-0.8181818181818183,0.8780487804878021
28,GFDL-CM4,29.222662640186506,-9.0,3.892561983471074,-0.5121951219512191
29,GFDL-ESM4,35.688202857151886,-9.0,4.21487603305785,0.29268292682926855
30,GISS-E2-1-G-CC,65.00383694849879,12.0,6.272727272727272,-0.5853658536585371
31,GISS-E2-1-G,62.76251858069923,9.0,6.074380165289256,-1.02439024390244
32,GISS-E2-1-H,52.443478387243694,3.0,4.933884297520661,-1.9024390243902438
33,HadGEM3-GC31-LL,23.243501404851212,0.0,1.4380165289256208,-2.048780487804878
34,HadGEM3-GC31-MM,19.841689880149943,0.0,1.8347107438016526,-1.9024390243902438
35,IITM-ESM,46.1995727913659,3.0,6.322314049586778,-1.6097560975609753
36,INM-CM4-8,31.20974310452762,-21.0,1.78512396694215,-2.560975609756099
37,INM-CM5-0,31.83237781462447,-33.0,2.429752066115702,-2.4146341463414647
38,IPSL-CM6A-LR,21.884055290595107,-21.0,-0.6942148760330582,-4.463414634146343
39,KACE-1-0-G,52.220230846331276,3.0,0.14876033057851323,-3.3658536585365866
40,MCM-UA-1-0,617829.2060417678,-12.0,2.6033057851239665,-1.3902439024390247
41,MIROC-ES2L,31.27619855009023,-3.0,0.44628099173553615,-2.04878048780488
42,MIROC6,13.31609315518948,-3.0,1.5123966942148765,1.0243902439024382
43,MPI-ESM-1-2-HAM,52.9259800893188,-27.0,4.8099173553718995,-0.3658536585365866
44,MPI-ESM1-2-HR,38.27078308379978,-3.0,4.21487603305785,0.6585365853658551
45,MPI-ESM1-2-LR,38.53418124748492,-6.0,4.09090909090909,-0.5121951219512191
46,MRI-ESM2-0,28.911790837493808,-21.0,1.2892561983471076,-4.170731707317074
47,NESM3,67.3020529965191,-15.0,9.570247933884298,0.5121951219512191
48,NorCPM1,49.30589284607403,3.0,-2.7024793388429753,-5.7804878048780495
49,NorESM2-LM,53.14052604234242,-15.0,1.8099173553719012,-1.8292682926829276
50,NorESM2-MM,25.978688042098135,3.0,0.7190082644628095,-1.0975609756097562
51,SAM0-UNICON,30.120884412527477,-27.0,-1.56198347107438,-2.560975609756099
52,TaiESM1,26.59017875741322,0.0,-0.8429752066115714,0.8780487804878057
53,UKESM1-0-LL,22.585027178293902,0.0,1.8842975206611552,-1.6829268292682933
